Time,Iteration,#Processors
0.00837778,37,23
0.03080537,38,23
0.02334937,39,23
0.01895572,40,23
0.00986439,41,23
0.00639610,42,23
0.02052122,43,23
0.02613092,44,23
0.04895815,45,23
0.03741571,46,23
0.01191557,47,23
0.02442358,48,23
0.01643729,49,23
0.02058036,50,23
0.02686025,1,24
0.03430061,2,24
0.04286079,3,24
0.02760726,4,24
0.07137893,5,24
0.04527307,6,24
0.04809906,7,24
0.06079067,8,24
0.00734883,9,24
0.03482532,10,24
0.07339362,11,24
0.04375960,12,24
0.03733826,13,24
0.04623497,14,24
0.06463302,15,24
0.06259436,16,24
0.00769628,17,24
0.00842242,18,24
0.05495919,19,24
0.03956767,20,24
0.03563652,21,24
0.01468522,22,24
0.03342465,23,24
0.04700342,24,24
0.04416398,25,24
0.03609225,26,24
0.03923259,27,24
0.01381989,28,24
0.00878111,29,24
0.02193930,30,24
0.03723982,31,24
0.03853914,32,24
0.03470910,33,24
0.04866822,34,24
0.04632322,35,24
0.05854314,36,24
0.05732488,37,24
0.05191395,38,24
0.04503073,39,24
0.02494404,40,24
0.03084810,41,24
0.01026561,42,24
0.04521384,43,24
0.05728150,44,24
0.06351431,45,24
0.03286651,46,24
0.03027999,47,24
0.04379389,48,24
0.05745737,49,24
0.03425554,50,24
0.05343518,1,25
0.05329930,2,25
0.07527539,3,25
0.03853604,4,25
0.05529991,5,25
0.01380964,6,25
0.05379136,7,25
0.03221338,8,25
0.05564346,9,25
0.06428860,10,25
0.05415806,11,25
0.04632688,12,25
0.07008363,13,25
0.05488834,14,25
0.04377273,15,25
0.03538787,16,25
0.02528459,17,25
0.01409077,18,25
0.02450873,19,25
0.03223304,20,25
0.06081831,21,25
0.03143536,22,25
0.05315654,23,25
0.04252131,24,25
0.03161680,25,25
0.06261533,26,25
0.03752225,27,25
0.03079665,28,25
0.04737127,29,25
0.06606930,30,25
0.04207397,31,25
0.05774119,32,25
0.03154560,33,25
0.06476406,34,25
0.05944248,35,25
0.06494435,36,25
0.05563595,37,25
0.01985591,38,25
0.04680889,39,25
0.03072290,40,25
0.03970786,41,25
0.06055672,42,25
0.05307411,43,25
0.02530154,44,25
0.03655723,45,25
0.01973895,46,25
0.02508793,47,25
0.03865817,48,25
0.04164367,49,25
0.02934325,50,25
0.07096974,1,26
0.04466050,2,26
0.04044304,3,26
0.04527440,4,26
0.05906687,5,26
0.04578257,6,26
0.03487746,7,26
0.03731186,8,26
0.03767433,9,26
0.05954918,10,26
0.05622600,11,26
0.03152793,12,26
0.05099512,13,26
0.02338505,14,26
0.03087665,15,26
0.03069729,16,26
0.02664753,17,26
0.03766567,18,26
0.03654548,19,26
0.04285417,20,26
0.03888930,21,26
0.05216168,22,26
0.04384804,23,26
0.03353369,24,26
0.04035751,25,26
0.04013011,26,26
0.04653605,27,26
0.02655525,28,26
0.04095278,29,26
0.04547606,30,26
0.02917710,31,26
0.07423994,32,26
0.04594140,33,26
0.04460283,34,26
0.03460499,35,26
0.06617226,36,26
0.05219084,37,26
0.03802657,38,26
0.05677706,39,26
0.03249217,40,26
0.04962322,41,26
0.03148966,42,26
0.05283529,43,26
0.05363328,44,26
0.07791782,45,26
0.05658805,46,26
0.03171557,47,26
0.02591652,48,26
0.04555595,49,26
0.02160520,50,26
0.02300418,1,27
0.06532808,2,27
0.05026431,3,27
0.07140742,4,27
0.06496715,5,27
0.04586537,6,27
0.05278030,7,27
